股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
301208,中亦科技,20.02,30.94,30.94,25.57,25.57,5.16,34.59,2.98,48.24,150052,434532432.36,25.78,3712801856,1341993416,0.301208,深A,2024-06-14 15:34:42,2024-06-14
688693,锴威特,20.01,33.28,33.28,30.0,31.27,5.55,58.67,5.13,-38.43,102678,330190616.0,27.73,2452210542,582400033,1.688693,沪A,2024-06-14 16:11:53,2024-06-14
301251,威尔高,20.01,38.81,38.81,30.78,31.6,6.47,53.82,1.24,62.55,181125,634076990.04,32.34,5224670506,1306167626,0.301251,深A,2024-06-14 15:35:00,2024-06-14
300933,中辰股份,20.0,7.14,7.14,6.03,6.06,1.19,15.59,2.96,53.04,365999,255505680.58,5.95,3273752525,1676177525,0.300933,深A,2024-06-14 15:34:36,2024-06-14
301183,东田微,19.99,45.74,45.74,37.26,37.91,7.62,24.92,3.66,116.26,114830,505176320.59,38.12,3659200000,2108065120,0.301183,深A,2024-06-14 15:34:24,2024-06-14
300713,英可瑞,19.96,12.92,12.92,10.4,10.59,2.15,11.37,2.59,-35.87,98523,121852569.79,10.77,2050672865,1119228308,0.300713,深A,2024-06-14 15:35:03,2024-06-14
301221,光庭信息,17.36,39.49,40.38,32.8,33.69,5.84,23.4,3.44,-279.77,101810,390725692.5,33.65,3657654627,1718083532,0.301221,深A,2024-06-14 15:34:39,2024-06-14
301082,久盛电气,16.75,13.45,13.82,12.1,12.18,1.93,54.19,5.27,119.0,515379,690373015.57,11.52,3043858390,1279284255,0.301082,深A,2024-06-14 15:34:12,2024-06-14
688597,煜邦电力,15.52,8.04,8.35,7.2,7.29,1.08,8.59,9.63,-62.86,155640,126666613.0,6.96,1986384590,1456114832,1.688597,沪A,2024-06-14 16:11:53,2024-06-14
300502,新易盛,13.4,108.5,113.33,95.2,95.49,12.82,9.11,2.48,59.33,562629,5886386820.68,95.68,77026214321,67011539763,0.300502,深A,2024-06-14 15:34:24,2024-06-14
300308,中际旭创,11.8,138.3,140.48,124.08,125.01,14.6,5.26,2.11,38.41,586874,7839639212.24,123.7,155057328195,154303323371,0.300308,深A,2024-06-14 15:34:45,2024-06-14
300175,朗源股份,11.72,8.1,8.35,7.14,7.33,0.85,19.1,1.16,135.0,899214,696199396.61,7.25,3813480000,3813480000,0.300175,深A,2024-06-14 15:34:54,2024-06-14
301395,仁信新材,11.71,19.37,20.29,17.52,17.52,2.03,20.78,6.48,93.03,75295,142216838.88,17.34,2807100400,701775100,0.301395,深A,2024-06-14 15:34:30,2024-06-14
000996,中期退,11.43,0.39,0.39,0.34,0.34,0.04,7.2,0.92,15.08,248279,9184184.26,0.35,134550000,134550000,0.000996,深A,2024-06-14 15:34:33,2024-06-14
301176,逸豪新材,11.01,26.41,26.88,22.9,24.0,2.62,46.01,1.02,-612.49,259306,656824625.29,23.79,4465050675,1488350234,0.301176,深A,2024-06-14 15:35:03,2024-06-14
301392,汇成真空,10.98,82.08,88.75,73.1,74.5,8.12,75.48,1.16,202.79,161048,1330172125.26,73.96,8208000000,1751290973,0.301392,深A,2024-06-14 15:34:27,2024-06-14
300013,*ST新宁,10.84,1.84,1.97,1.64,1.66,0.18,4.73,1.48,-105.9,211206,38456891.0,1.66,821904292,821904292,0.300013,深A,2024-06-14 15:34:48,2024-06-14
688517,金冠电气,10.22,14.23,15.49,12.75,12.96,1.32,14.77,4.32,23.63,126274,181604352.0,12.91,1944005608,1216706196,1.688517,沪A,2024-06-14 16:11:55,2024-06-14
001896,豫能控股,10.11,4.79,4.79,4.47,4.55,0.44,6.41,3.24,298.11,846103,400095024.21,4.35,7308492571,6326542571,0.001896,深A,2024-06-14 15:34:45,2024-06-14
600067,冠城大通,10.11,1.96,1.96,1.78,1.81,0.18,2.55,1.76,36.51,354323,68071864.0,1.78,2727670728,2727670728,1.600067,沪A,2024-06-14 16:12:01,2024-06-14
603389,亚振家居,10.06,5.47,5.47,4.81,4.96,0.5,12.8,2.0,-12.71,336380,175296197.0,4.97,1437253440,1437253440,1.603389,沪A,2024-06-14 16:11:56,2024-06-14
600830,香溢融通,10.06,7.88,7.88,7.13,7.23,0.72,16.32,1.43,42.21,741374,562665424.0,7.16,3580063246,3580063246,1.600830,沪A,2024-06-14 16:11:34,2024-06-14
002227,奥 特 迅,10.04,8.55,8.55,7.8,7.8,0.78,2.11,1.81,-36.28,52339,44507203.0,7.77,2118742754,2116963823,0.002227,深A,2024-06-14 15:35:00,2024-06-14
603863,松炀资源,10.02,19.21,19.21,17.4,17.45,1.75,10.73,1.17,-43.7,219662,406795027.0,17.46,3931326500,3931326500,1.603863,沪A,2024-06-14 16:11:38,2024-06-14
600192,长城电工,10.02,4.83,4.83,4.83,4.83,0.44,1.06,0.83,-19.14,46862,22634298.0,4.39,2133642840,2133642840,1.600192,沪A,2024-06-14 16:11:48,2024-06-14
002937,兴瑞科技,10.01,22.63,22.63,20.43,20.74,2.06,2.1,3.02,23.21,62440,135790572.33,20.57,6738757191,6716149368,0.002937,深A,2024-06-14 15:35:00,2024-06-14
002767,先锋电子,10.01,14.73,14.73,14.15,14.73,1.34,20.25,5.03,129.35,263563,386802984.54,13.39,2209500000,1917263001,0.002767,深A,2024-06-14 15:34:54,2024-06-14
600992,贵绳股份,10.01,16.93,16.93,15.18,15.18,1.54,8.77,1.04,145.3,214881,350241470.0,15.39,4149373700,4149373700,1.600992,沪A,2024-06-14 16:11:51,2024-06-14
600345,长江通信,10.01,18.47,18.47,16.68,17.0,1.68,2.86,2.93,-55.72,56624,100128937.0,16.79,6087936078,3657060000,1.600345,沪A,2024-06-14 16:11:42,2024-06-14
002857,三晖电气,10.0,11.66,11.66,10.75,10.92,1.06,3.07,1.63,-112.56,39329,45046666.0,10.6,1506125698,1492480000,0.002857,深A,2024-06-14 15:34:33,2024-06-14
603083,剑桥科技,9.99,34.25,34.25,31.2,31.74,3.11,7.25,2.11,88.43,192158,638142415.0,31.14,9180433054,9078894408,1.603083,沪A,2024-06-14 16:11:39,2024-06-14
603685,晨丰科技,9.97,12.91,12.91,12.78,12.78,1.17,1.65,2.01,169.94,27873,35899153.0,11.74,2181866414,2181866414,1.603685,沪A,2024-06-14 16:11:53,2024-06-14
002199,东晶电子,9.95,6.3,6.3,5.86,5.92,0.57,10.73,1.54,-21.59,261268,162282022.04,5.73,1533686887,1533686887,0.002199,深A,2024-06-14 15:34:57,2024-06-14
002350,北京科锐,9.92,5.54,5.54,5.16,5.16,0.5,5.87,4.52,-37.47,310742,169268586.26,5.04,3004515685,2932395981,0.002350,深A,2024-06-14 15:34:18,2024-06-14
600179,安通控股,9.91,2.55,2.55,2.55,2.55,0.23,0.38,0.68,52.68,141340,36041677.0,2.32,10790393796,9522303062,1.600179,沪A,2024-06-14 16:11:53,2024-06-14
600355,精伦电子,9.87,3.34,3.34,3.09,3.09,0.3,16.78,2.34,-44.57,825587,271925684.0,3.04,1643577928,1643577928,1.600355,沪A,2024-06-14 16:11:36,2024-06-14
837592,华信永道,9.85,17.39,18.18,15.93,15.99,1.56,33.2,2.06,-29.94,56881,96632779.0,15.83,1080788500,297959843,0.837592,深A,2024-06-14 15:31:55,2024-06-14
000793,华闻集团,9.7,1.47,1.47,1.4,1.47,0.13,20.54,5.51,-21.3,4028597,588370575.55,1.34,2935950822,2882682664,0.000793,深A,2024-06-14 15:34:57,2024-06-14
300557,理工光科,9.68,23.0,23.68,20.73,20.95,2.03,4.16,3.42,81.2,37795,85366275.2,20.97,2140425057,2091090057,0.300557,深A,2024-06-14 15:34:39,2024-06-14
300552,万集科技,9.44,38.82,40.55,35.01,35.21,3.35,32.34,1.11,-26.09,407146,1520723715.6,35.47,8273827408,4886748246,0.300552,深A,2024-06-14 15:35:00,2024-06-14
300394,天孚通信,9.39,98.0,101.11,89.1,89.83,8.41,9.37,2.3,48.66,471357,4545264432.64,89.59,54283344738,49320662174,0.300394,深A,2024-06-14 15:34:45,2024-06-14
300169,天晟新材,9.33,5.04,5.29,4.52,4.64,0.43,13.01,2.49,-101.78,392682,194832441.6,4.61,1642961074,1520748341,0.300169,深A,2024-06-14 15:34:21,2024-06-14
600837,海通证券,8.7,8.87,8.98,8.14,8.16,0.71,2.16,8.03,31.79,1914500,1668603695.0,8.16,115879454000,78706891067,1.600837,沪A,2024-06-14 16:11:57,2024-06-14
600022,山东钢铁,8.7,1.25,1.27,1.22,1.23,0.1,1.65,3.03,-5.24,1766131,219446585.0,1.15,13373561943,13373561943,1.600022,沪A,2024-06-14 16:12:02,2024-06-14
002856,美芝股份,8.33,10.66,10.8,9.5,9.81,0.82,9.37,0.8,105.03,109179,113261717.06,9.84,1442434533,1241749906,0.002856,深A,2024-06-14 15:34:18,2024-06-14
603322,超讯通信,8.15,28.53,29.0,26.01,26.38,2.15,5.36,1.73,50.63,84542,232678163.0,26.38,4496580205,4495951290,1.603322,沪A,2024-06-14 16:11:46,2024-06-14
688183,生益电子,8.1,21.35,21.55,19.4,19.55,1.6,8.21,1.03,167.87,253154,521487698.0,19.75,17759382086,6583037650,1.688183,沪A,2024-06-14 16:11:57,2024-06-14
600405,动力源,8.08,3.88,3.95,3.55,3.59,0.29,5.06,3.91,-9.4,279987,108540445.0,3.59,2146708738,2146708738,1.600405,沪A,2024-06-14 16:11:50,2024-06-14
301086,鸿富瀚,7.93,38.4,41.22,36.02,36.16,2.82,14.85,1.95,31.09,48252,185495541.0,35.58,3456000000,1247875200,0.301086,深A,2024-06-14 15:34:15,2024-06-14
002588,史丹利,7.92,7.22,7.34,6.63,6.65,0.53,3.9,2.04,8.76,399195,281002618.8,6.69,8352702480,7397538861,0.002588,深A,2024-06-14 15:35:03,2024-06-14
300141,和顺电气,7.87,7.81,8.51,7.18,7.2,0.57,8.07,4.19,578.47,203706,164448001.25,7.24,1982838726,1970425450,0.300141,深A,2024-06-14 15:34:24,2024-06-14
600647,退市同达,7.82,1.93,1.96,1.78,1.78,0.14,1.1,0.32,-6.57,15284,2941839.0,1.79,268547052,268547052,1.600647,沪A,2024-06-14 16:11:51,2024-06-14
002463,沪电股份,7.67,37.06,37.86,34.28,34.28,2.64,4.6,2.05,34.44,880332,3207444161.5,34.42,70914821724,70870294839,0.002463,深A,2024-06-14 15:35:00,2024-06-14
600725,云维股份,7.57,3.27,3.34,3.03,3.05,0.23,3.49,2.56,25123.69,430271,139213819.0,3.04,4030176900,4030176900,1.600725,沪A,2024-06-14 16:11:52,2024-06-14
688799,华纳药厂,7.53,46.83,47.35,43.42,43.48,3.28,4.06,2.68,18.29,22932,105041716.0,43.55,4392654000,2645333040,1.688799,沪A,2024-06-14 16:11:50,2024-06-14
301313,凡拓数创,7.5,21.65,24.0,21.21,21.78,1.51,13.63,2.98,-15.49,89056,198470230.57,20.14,2266612110,1414518251,0.301313,深A,2024-06-14 15:34:42,2024-06-14
688429,时创能源,7.46,15.85,16.58,13.96,14.68,1.1,18.1,4.04,-27.12,57909,88293459.0,14.75,6340012680,507210144,1.688429,沪A,2024-06-14 16:11:47,2024-06-14
002815,崇达技术,7.44,9.68,9.75,8.76,8.91,0.67,13.93,1.29,22.26,892431,830702321.9,9.01,10568164306,6203357723,0.002815,深A,2024-06-14 15:34:27,2024-06-14
688720,艾森股份,7.42,45.3,50.6,43.53,50.6,3.13,55.62,3.67,132.9,98437,478088655.0,42.17,3992440030,801783635,1.688720,沪A,2024-06-14 16:11:47,2024-06-14
301205,联特科技,7.32,72.56,74.6,66.86,67.49,4.95,10.07,2.54,-503.26,68445,488945440.38,67.61,9414224640,4931052797,0.301205,深A,2024-06-14 15:34:21,2024-06-14
300510,金冠股份,7.28,3.83,4.07,3.52,3.56,0.26,4.45,2.8,-65.06,367379,140128537.43,3.57,3173629388,3158565381,0.300510,深A,2024-06-14 15:34:12,2024-06-14
300457,赢合科技,7.13,18.02,18.17,16.67,16.82,1.2,6.41,2.91,18.46,408203,722888816.5,16.82,11704674093,11473644322,0.300457,深A,2024-06-14 15:34:54,2024-06-14
300062,中能电气,7.13,5.11,5.49,4.7,4.73,0.34,10.06,4.39,57.59,381099,197613410.13,4.77,2849220136,1935735483,0.300062,深A,2024-06-14 15:34:54,2024-06-14
002922,伊戈尔,7.07,24.54,24.62,22.84,22.89,1.62,7.47,1.48,41.17,278546,666706014.47,22.92,9612334957,9145715618,0.002922,深A,2024-06-14 15:35:03,2024-06-14
603717,天域生态,6.97,6.6,6.79,6.07,6.23,0.43,2.96,1.66,53.03,85964,56176511.0,6.17,1914965184,1914965184,1.603717,沪A,2024-06-14 16:11:43,2024-06-14
301132,满坤科技,6.97,24.41,24.49,21.61,22.5,1.59,29.34,0.96,132.1,127558,296515549.06,22.82,3599742700,1061236955,0.301132,深A,2024-06-14 15:35:00,2024-06-14
300476,胜宏科技,6.96,33.02,34.2,30.55,30.84,2.15,7.86,1.67,33.98,672164,2208384002.72,30.87,28485978926,28238991703,0.300476,深A,2024-06-14 15:34:51,2024-06-14
000736,中交地产,6.94,9.86,10.14,9.18,9.28,0.64,6.63,3.32,-7.83,461298,453749262.75,9.22,6856976174,6856976174,0.000736,深A,2024-06-14 15:35:06,2024-06-14
